src,dst,stime,method,proto,sport,dport,node_addr,hop_addr,probe_ttl,probe_attempt,probe_rtt,probe_retransmit,probe_sent_ttl,probe_sent_size,reply_rtt,reply_ttl,reply_ipid,reply_icmp_type,reply_icmp_code
192.168.1.27,130.104.228.159,N/A,icmp-echo,N/A,N/A,N/A,192.168.1.1,191.112.0.1,2,0,N/A,N/A,N/A,N/A,4.476,254,967,11,0
192.168.1.27,130.104.228.159,N/A,icmp-echo,N/A,N/A,N/A,191.112.0.1,10.50.3.9,3,0,N/A,N/A,N/A,N/A,3.196,253,658,11,0
192.168.1.27,130.104.228.159,N/A,icmp-echo,N/A,N/A,N/A,191.112.0.1,10.50.3.9,3,0,N/A,N/A,N/A,N/A,12.818,253,724,11,0
192.168.1.27,130.104.228.159,N/A,icmp-echo,N/A,N/A,N/A,191.112.0.1,10.50.3.9,3,0,N/A,N/A,N/A,N/A,4.207,253,862,11,0
192.168.1.27,130.104.228.159,N/A,icmp-echo,N/A,N/A,N/A,191.112.0.1,10.50.3.9,3,0,N/A,N/A,N/A,N/A,4.513,253,929,11,0
192.168.1.27,130.104.228.159,N/A,icmp-echo,N/A,N/A,N/A,191.112.0.1,10.50.3.9,3,0,N/A,N/A,N/A,N/A,3.742,253,1002,11,0
192.168.1.27,130.104.228.159,N/A,icmp-echo,N/A,N/A,N/A,191.112.0.1,10.50.3.9,3,0,N/A,N/A,N/A,N/A,4.388,253,41,11,0
192.168.1.27,130.104.228.159,N/A,icmp-echo,N/A,N/A,N/A,191.112.0.1,10.50.3.9,3,0,N/A,N/A,N/A,N/A,3.742,253,173,11,0
192.168.1.27,130.104.228.159,N/A,icmp-echo,N/A,N/A,N/A,191.112.0.1,10.50.3.9,3,0,N/A,N/A,N/A,N/A,3.991,253,290,11,0
192.168.1.27,130.104.228.159,N/A,icmp-echo,N/A,N/A,N/A,191.112.0.1,10.50.3.21,3,0,N/A,N/A,N/A,N/A,3.584,253,791,11,0
192.168.1.27,130.104.228.159,N/A,icmp-echo,N/A,N/A,N/A,191.112.0.1,10.50.3.21,3,0,N/A,N/A,N/A,N/A,12.35,253,104,11,0
192.168.1.27,130.104.228.159,N/A,icmp-echo,N/A,N/A,N/A,191.112.0.1,10.50.3.21,3,0,N/A,N/A,N/A,N/A,3.337,253,235,11,0
192.168.1.27,130.104.228.159,N/A,icmp-echo,N/A,N/A,N/A,191.112.0.1,10.50.3.21,3,0,N/A,N/A,N/A,N/A,4.315,253,376,11,0
192.168.1.27,130.104.228.159,N/A,icmp-echo,N/A,N/A,N/A,191.112.0.1,10.50.3.10,4,0,N/A,N/A,N/A,N/A,3.956,252,71,11,0
192.168.1.27,130.104.228.159,N/A,icmp-echo,N/A,N/A,N/A,191.112.0.1,10.50.3.10,4,0,N/A,N/A,N/A,N/A,3.173,252,160,11,0
192.168.1.27,130.104.228.159,N/A,icmp-echo,N/A,N/A,N/A,191.112.0.1,10.50.3.10,4,1,N/A,N/A,N/A,N/A,4.239,252,24,11,0
